timer,temperature
0,25.94128
1,26.02609
2,26.11096
3,26.02609
4,26.02609
5,26.02609
6,26.02609
7,26.02609
8,26.11096
9,26.11096
10,26.02609
11,26.11096
12,25.94128
13,26.19589
14,26.19589
15,26.45096
16,26.5361
17,26.5361
18,26.73495
19,26.73495
20,26.62131
21,26.5361
22,26.5361
23,26.45096
24,26.5361
25,26.45096
26,26.36588
27,26.36588
28,26.36588
29,26.28085
30,26.36588
31,26.45096
32,26.36588
33,26.36588
34,26.28085
35,26.11096
36,26.19589
37,26.11096
38,26.02609
39,25.77182
40,25.68716
41,25.48981
42,25.60254
43,25.48981
44,25.18024
45,25.26462
46,25.09589
47,25.09589
48,25.09589
49,24.84323
50,24.75903
51,24.75903
52,24.67496
53,24.5069
54,24.42288
55,24.33896
56,24.33896
57,24.14325
58,24.03152
59,23.83618
60,23.91986
61,23.58524
62,23.66885
63,23.47382
64,23.36249
65,23.25119
66,23.08438
67,23.00098
68,23.00098
69,22.75104
70,22.66779
71,22.41818
72,22.33505
73,22.25192
74,21.91968
75,22.08575
76,21.91968
77,21.67075
78,21.67075
79,21.58777
80,21.67075
81,21.33908
82,21.2562
83,21.03531
84,21.03531
85,20.92493
86,20.70416
87,20.51111
88,20.42841
89,20.42841
90,20.3457
91,20.1803
92,20.01498
93,20.01498
94,19.68439
95,19.49161
96,19.49161
97,19.38144
98,19.2713
99,19.05103
100,19.05103
101,18.87482
102,18.87482
103,18.67657
104,18.6105
105,18.50037
106,18.3902
107,18.19745
108,18.19745
109,18.11484
110,17.94955
111,17.94955
112,17.83939
113,17.72919
114,17.72919
115,17.53629
116,17.37091
117,17.28824
118,17.28824
119,17.06763
120,16.95731
121,16.87451
122,16.79178
123,16.70898
124,16.70898
125,16.54333
126,16.37762
127,16.54333
128,16.37762
129,16.1842
130,16.1842
131,16.1842
132,15.88004
133,15.96301
134,15.79703
135,15.79703
136,15.63092
137,15.63092
138,15.40936
139,15.40936
140,15.40936
141,15.21533
142,15.04889
143,15.04889
144,14.96564
145,14.74341
146,14.74341
147,14.74341
148,14.54883
149,14.21484
150,14.21484
151,14.21484
152,14.21484
153,14.04764
154,13.96396
155,13.85236
156,13.96396
157,13.85236
158,13.62894
159,13.5451
160,13.62894
161,13.5451
162,13.46118
163,13.20923
164,13.29324
165,13.29324
166,13.12515
167,13.12515
168,13.12515
169,13.12515
170,13.04105
171,12.87268
172,12.87268
173,12.78839
174,12.78839
175,12.7041
176,12.7041
177,12.61978
178,12.50723
179,12.39459
180,12.50723
181,12.11261
182,12.19727
183,12.02789
184,12.02789
185,11.94315
186,11.94315
187,11.83002
188,11.83002
189,11.51846
190,11.51846
191,11.43335
192,11.43335
193,11.43335
194,11.17764
195,11.26294
196,11.26294
197,11.17764
198,11.09232
199,11.00687
200,11.00687
201,11.00687
202,10.75024
203,10.75024
204,10.49301
205,10.45007
206,10.49301
207,10.53592
208,10.40714
209,10.45007
210,10.23514
211,10.32117
212,10.32117
213,10.23514
214,10.23514
215,10.06287
216,9.821228
217,10.06287
218,9.821228
219,9.89032
220,9.752045
221,9.613586
222,9.752045
223,9.821228
224,9.682861
225,9.682861
226,9.752045
227,9.544281
228,9.42868
229,9.544281
230,9.42868
231,9.42868
232,9.312897
233,9.312897
234,9.312897
235,9.197021
236,9.197021
237,9.109985
238,9.109985
239,9.109985
240,9.109985
241,9.022858
242,9.109985
243,9.109985
244,9.022858
245,9.109985
246,8.935699
247,8.848419
248,8.848419
249,8.848419
250,8.848419
251,8.761047
252,8.761047
253,8.673584
254,8.673584
255,8.673584
256,8.58606
257,8.673584
258,8.673584
259,8.673584
260,8.38147
261,8.58606
262,8.38147
263,8.264313
264,8.264313
265,8.264313
266,8.147034
267,8.498444
268,8.264313
269,8.264313
270,8.264313
271,8.147034
272,8.147034
273,8.058929
274,8.147034
275,8.058929
276,7.970734
277,7.970734
278,8.147034
279,8.058929
280,7.794098
281,7.882477
282,8.058929
283,7.882477
284,7.970734
285,7.970734
286,7.882477
287,7.882477
288,7.882477
289,7.794098
290,7.882477
291,7.882477
292,7.882477
293,7.794098
294,7.705627
295,7.705627
296,7.617035
297,7.705627
298,7.617035
299,7.617035
300,7.617035
301,7.705627
302,7.617035
303,7.705627
304,7.617035
305,7.439636
306,7.528381
307,7.528381
308,7.439636
309,7.439636
310,7.617035
311,7.528381
312,7.439636
313,7.528381
314,7.350739
315,7.439636
316,7.350739
317,7.528381
318,7.261749
319,7.261749
320,7.350739
321,7.350739
322,7.261749
323,7.261749
324,7.261749
325,7.439636
326,7.172699
327,7.261749
328,7.261749
329,7.083496
330,7.261749
331,7.172699
332,7.083496
333,7.172699
334,7.083496
335,7.261749
336,7.172699
337,7.083496
338,6.994232
339,7.083496
340,6.994232
341,7.083496
342,7.083496
343,6.994232
344,7.083496
345,6.994232
346,6.994232
347,7.083496
348,6.904785
349,7.083496
350,6.994232
351,7.083496
352,7.083496
353,6.815277
354,6.994232
355,6.994232
356,6.904785
357,6.904785
358,6.994232
359,6.904785
360,6.815277
361,6.815277
362,6.815277
363,6.904785
364,6.815277
365,6.725677
366,6.815277
367,6.815277
368,6.725677
369,6.605988
370,6.815277
371,6.725677
372,6.725677
373,6.725677
374,6.725677
375,6.605988
376,6.725677
377,6.605988
378,6.725677
379,6.605988
380,6.605988
381,6.605988
382,6.486176
383,6.815277
384,6.486176
385,6.486176
386,6.605988
387,6.486176
388,6.486176
389,6.486176
390,6.486176
391,6.486176
392,6.366089
393,6.366089
394,6.366089
395,6.366089
396,6.275909
397,6.366089
398,6.366089
399,6.366089
400,6.275909
401,6.486176
402,6.275909
403,6.275909
404,6.366089
405,6.185608
406,6.366089
407,6.366089
408,6.366089
409,6.275909
410,6.095184
411,6.095184
412,6.185608
413,6.275909
414,6.185608
415,6.185608
416,6.185608
417,6.185608
418,6.275909
419,6.275909
420,6.275909
421,6.185608
422,6.095184
423,6.185608
424,6.095184
425,6.095184
426,6.185608
427,5.823212
428,6.185608
429,6.185608
430,6.095184
431,6.095184
432,5.823212
433,6.095184
434,5.823212
435,5.823212
436,5.823212
437,5.823212
438,5.823212
439,5.859528
440,5.823212
441,5.714111
442,5.823212
443,5.859528
444,5.859528
445,5.859528
446,5.859528
447,5.714111
448,5.859528
449,5.859528
450,5.859528
451,5.714111
452,5.56839
453,5.714111
454,5.714111
455,5.859528
456,5.859528
457,5.823212
458,5.422302
459,5.859528
460,5.56839
461,5.714111
462,5.714111
463,5.714111
464,5.859528
465,5.56839
466,5.422302
467,5.859528
468,5.714111
469,5.714111
470,5.422302
471,5.714111
472,5.714111
473,5.714111
474,5.56839
475,5.714111
476,5.714111
477,5.56839
478,5.714111
479,5.56839
480,5.56839
481,5.714111
482,5.56839
483,5.422302
484,5.422302
485,5.422302
486,5.56839
487,5.56839
488,5.714111
489,5.56839
490,5.422302
491,5.422302
492,5.422302
493,5.56839
494,5.422302
495,5.56839
496,5.275909
497,5.422302
498,5.56839
499,5.422302
500,5.422302
501,5.422302
502,5.422302
503,5.56839
504,5.422302
505,5.422302
506,5.56839
507,5.422302
508,5.422302
509,5.714111
510,5.422302
511,5.422302
512,5.275909
513,5.275909
514,5.56839
515,5.275909
516,5.422302
517,5.275909
518,5.422302
519,5.153687
520,5.275909
521,5.422302
522,5.275909
523,5.275909
524,5.56839
525,5.275909
526,5.275909
527,5.153687
528,5.153687
529,5.275909
530,5.422302
531,5.275909
532,5.153687
533,5.153687
534,5.031189
535,5.153687
536,5.153687
537,5.275909
538,5.275909
539,5.153687
540,5.275909
541,5.422302
542,5.153687
543,5.153687
544,5.153687
545,5.275909
546,5.031189
547,5.275909
548,5.275909
549,5.422302
550,5.275909
551,5.153687
552,5.275909
553,5.153687
554,5.031189
555,5.422302
556,5.275909
557,5.422302
558,5.275909
559,5.275909
560,5.56839
561,5.422302
562,5.56839
563,5.153687
564,5.275909
565,5.422302
566,5.275909
567,5.153687
